id_station;adresse;cp;fermeture;latitude;longitude;marque;nom;ouverture;pop;saufjour;services;ville
67500001;;67500;;48.80203;7.83531;CORA;CORA HAGUENAU;;R;;;
17210003;;17210;;;;;;;R;;;
38000012;;38000;;;;;;;R;;;
62310001;;62310;;50.51185;2.13389;Carrefour Market;Carrefour Market;;R;;;
40100006;;40100;;43.69258;-1.05965;Carrefour Market;Carrefour Market;;R;;;
45720002;;45720;;47.61784;2.49319;Intermarché;SAS PASECAJE;;R;;;
31450003;;31450;;43.45441;1.58498;Intermarché;INTERMARCHE MONTGISCARD;;R;;;
21150002;;21150;;47.54033;4.46066;Système U;Venardis sas;;R;;;
9300002;;09300;;42.93739;1.85335;Système U;SUPER U;;R;;;
92700009;;92700;;;;;;;R;;;
16430004;;16430;;45.68274;0.17935;Intermarché;INTERMARCHE CHAMPNIERS;;R;;;
44300016;;44300;;;;;;;R;;;
66350001;;66350;;;;;;;R;;;
52170001;;52170;;48.55085;5.07499;Ecomarché;ECOMARCHE;;R;;;
78760003;;78760;;48.80442;1.89592;Total Access;TOTAL ACCESS;;R;;;
3120004;;03120;;46.24965;3.63028;Total Access;Aire des verites;;R;;;
92800002;;92800;;;;;;;R;;;
81230001;;81230;;43.712;2.70899;Casino;CASINO SUPERMARCHE;;R;;;
49600001;;49600;;47.21071;-0.984272;Système U;Super U BEAUPREAU;;R;;;
92400009;;92400;;;;;;;R;;;
9100003;;09100;;43.1035;1.62074;Total;SARL PYRENEES AUTOS;;R;;;
91470006;;91470;;;;;;;R;;;
40990003;;40990;;;;;;;R;;;
70250003;;70250;;47.69716;6.6425;Carrefour Contact;CARREFOUR CONTACT;;R;;;
4100006;;04100;;;;;;;R;;;
13390001;;13390;;43.36766;5.64273;Casino;CASINO SUPERMARCHE;;R;;;
20166004;;20166;;41.8873;8.8077;BP;RELAIS BENISTA CARBURANT;;R;;;
78630010;;78630;;;;;;;R;;;
7500001;;07500;;44.93828;4.86654;Auchan;AUCHAN GUILHERAND GRANGES;;R;;;
72000013;;72000;;48.01834;0.18499;Esso;SARL HAINCOURT;;R;;;
38200005;;38200;;;;;;;R;;;
87600002;;87600;;45.82961;0.83149;Carrefour Market;SA ROCHEDIS;;R;;;
92000007;;92000;;;;;;;R;;;
56220003;;56220;;47.67784;-2.29471;Système U;Super U MALANSAC;;R;;;
51100037;;51100;;;;;;;R;;;
93100005;;93100;;48.86872;2.43113;Shell;STATION SHELL;;R;;;
69500003;;69500;;45.73833;4.89414;Total Access;RELAIS BRON LE DAUPHINE;;R;;;
71240001;;71240;;46.6892;4.84397;Carrefour;AIRE DE LA FERTE;;A;;;
69170001;;69170;;45.89165;4.44229;Simply Market;SIMPLY MARKET;;R;;;
64400001;;64400;;;;;;;R;;;
11370001;;11370;;42.90643;3.03681;Carrefour Contact;Carrefour Contact;;R;;;
67430001;;67430;;48.93812;7.18799;Total;DIEMERINGEN ETS BESSN;;R;;;
42500010;;42500;;45.38922;4.31136;Agip;AGIP CHAMBON NORD RN 88 SENS ST ETIENNE -LE PUY;;R;;;
13320007;;13320;;;;;;;A;;;
33520001;;33520;;44.87113;-0.61381;Esso Express;ESSO DU VIGEAN;;R;;;
85270001;;85270;;46.71257;-1.96128;Système U;Hyper U ST HILAIRE DE RIEZ;;R;;;
57402001;;57400;;48.7324;7.04549;Leclerc;SARREDIS;;R;;;
71460003;;71460;;46.67112;4.60245;Elan;GARAGE ROZE ANDRE;;R;;;
87120003;;87120;;45.73903;1.73886;Elan;GARAGE CHEMARTIN FOURNIER;;R;;;
78290003;;78290;;;;;;;R;;;
31106001;;31100;;43.5687;1.39258;Géant;GEANT CASINO;;R;;;
52000007;;52000;;;;;;;R;;;
7400001;;07400;;44.60184;4.71841;Total;RELAIS DE LA CORNICHE;;R;;;
40420001;;40420;;;;;;;R;;;
5200006;;05200;;44.53823;6.49196;Total;Station Total Marmugi;;R;;;
43170002;;43170;;44.96938;3.54097;Indépendant sans enseigne;LONJON;;R;;;
91430001;;91430;;48.74525;2.22104;BP;BP IGNY OUEST;;R;;;
64100008;;64100;;43.49205;-1.45922;Total Access;STATION TOTAL ACCESS SAINTE CROIX;;R;;;
73100002;;73100;;45.67584;5.90757;Elf;RELAIS ELF  AIX LES BAINS;;R;;;
6210009;;06210;;43.5218;6.89906;BP;BP MANDELIEU RELAIS L'ESTEREL;;R;;;
77810001;;77810;;48.40856;2.79165;Simply Market;SIMPLY MARKET;;R;;;
29360002;;29360;;;;;;;R;;;
33220002;;33220;;;;;;;R;;;
83500007;;83500;;43.08509;5.88123;Intermarché;INTERMARCHE LA SEYNE SUR MER;;R;;;
71000002;;71000;;46.30048;4.82924;Total Access;RELAIS TOTAL ACESS MACON;;R;;;
21230001;;21230;;47.12953;4.48237;Atac;ATAC ARNAY LE DUC;;R;;;
64800001;;64800;;43.17994;-0.26411;Système U;SUPER U;;R;;;
71500002;;71500;;46.6249;5.2393;Carrefour Market;Carrefour Market;;R;;;
34500017;;34500;;;;;;;R;;;
62870001;;62870;;;;;;;R;;;
11000009;;11000;;43.21244;2.32486;Intermarché;INTERMARCHE CARCASSONNE;;R;;;
69320005;;69320;;45.68319;4.85768;Total Access;RELAIS TOTAL ACCESS BELLE ETOILE 2;;R;;;
74910004;;74910;;45.96179;5.83676;Agip;SARL BH AUTOS SEYSSEL;;R;;;
74910002;;74910;;;;;;;R;;;
40280004;;40280;;43.88616;-0.52008;Indépendant sans enseigne;STATION SERVICE DU MOUN;;R;;;
64111001;;64122;;43.36415;-1.69843;Elan;SARL ALCORTA JB;;R;;;
61440001;;61440;;48.67326;-0.519958;Elan;GARAGE LETALLEC;;R;;;
44240009;;44240;;;;Total Access;Relais Access La Jonelière;;R;;;
73730006;;73730;;;;;;;R;;;
91130006;;91130;;;;;;;R;;;
36600002;;36600;;47.16354;1.55945;Intermarché;INTERMARCHE VALENCAY;;R;;;
61100003;;61100;;48.75248;-0.57514;Carrefour;ST GEORGES DES GROSEILLERS;;R;;;
27400005;;27400;;;;;;;R;;;
13090011;;13090;;;;;;;R;;;
67700008;;67700;;48.74226;7.35729;Total;relais de la roseraie;;R;;;
94470001;;94470;;;;;;;R;;;
14600006;;14600;;49.41583;0.22953;Total;Relais Honfleur;;R;;;
35540004;;35540;;48.51144;-1.89567;Carrefour Contact;Carrefour contact;;R;;;
16300001;;16300;;45.46046;-0.143064;Total;SAS ENA;;R;;;
62700008;;62700;;;;;;;R;;;
48170001;;48170;;44.63162;3.67586;Total;SARL NEGRE STATION TOTAL;;R;;;
70290002;;70290;;47.70481;6.68202;Colruyt;013 DATS CHAMPAGNEY;;R;;;
67560002;;67560;;48.50253;7.48739;Simply Market;SIMPLY MARKET;;R;;;
35132002;;35132;;;;;;;R;;;
66000001;;66000;;;;;;;R;;;
88000009;;88000;;;;;;;R;;;
56690002;;56690;;47.76105;-3.12354;Intermarché;INTERMARCHE SUPER;;R;;;
44510001;;44510;;47.27503;-2.44083;Intermarché;INTERMARCHE LE POULIGUEN;;R;;;
89400003;;89400;;47.9726;3.51064;Leclerc;DISMI;;R;;;
23170001;;23170;;46.18513;2.43139;Intermarché Contact;INTERMARCHE CHAMBON SUR VOUEIZE;;R;;;
43100002;;43100;;45.28948;3.36898;Total;EOR BRIOUDE ETS BOUDON;;R;;;
25300007;;25300;;46.90204;6.33359;Indépendant sans enseigne;La Maison Du Pneu Pontarlier SILIGOM;;R;;;
49400003;;49400;;47.26739;-0.088384;Elan;PELISSON;;R;;;
59190004;;59190;;50.73079;2.5437;Système U;SUPER U HAZEBROUCK;;R;;;
30130002;;30130;;44.25993;4.64752;Casino;CASINO SUPERMARCHE;;R;;;
20290003;;20290;;42.56756;9.44075;Total;SARL RELAIS DE BORGO;;R;;;
35590001;;35590;;48.12413;-1.80359;Système U;Super U L'HERMITAGE;;R;;;
31340001;;31340;;43.85892;1.50542;Leclerc;SAS VILDI PARTICIPATION;;R;;;
19130006;;19130;;;;;;;R;;;
89290003;;89290;;47.78765;3.67211;Total;RELAIS DU VENOY;;A;;;
39700011;;39700;;47.14919;5.66375;BP;BP A36 AIRE DE DOLE ROMANGE;;A;;;
66750004;;66750;;;;;;;R;;;
37170005;;37170;;;;;;;R;;;
75012004;;75012;;48.83905;2.3891;Total;RELAIS DE BERCY;;R;;;
29870001;;29870;;48.56959;-4.51215;Leclerc;PLOUDINER SA;;R;;;
13005004;;13005;;;;;;;R;;;
92400020;;92400;;;;;;;R;;;
84100007;;84100;;44.13559;4.81309;Total;RELAIS DE LA COMTADINE;;R;;;
79160001;;79160;;46.49326;-0.62367;Système U;Super U COULONGES SUR L'AUTIZE;;R;;;
